"","x"
"15","前２軸車において、車枠の塗装が不適切なため、塗料の垂れが生じた状態でアイドラアームブラケットを取り付けたものがあり、かじ取り操作の繰り返しにより当該ブラケットの取り付けボルトが緩むものがある。そのため、かじ取り操作時にガタが発生し、最悪の場合、当該ブラケットが外れてかじ取り操作が不能となるおそれがある。"
"16","駐車ブレーキを操作するバルブ(ハンドコントロールバルブ)に接続しているエアパイプとラジエータの支持金具を取付けているボルトとの隙間が不適切なため、走行中に当該パイプとボルトが干渉するものがある。そのため、そのまま使用を続けると当該パイプに穴が開いてエアが漏れ、最悪の場合、駐車ブレーキが予期せず作動するおそれがある。"
"17","走行装置の前輪ハブベアリングシールの組付け位置にばらつきがあるため、走行時にベアリングへ荷重がかかった場合、シール性能が低下し、当該ベアリングに水が浸入して、異音が発生するものがある。そのため、そのまま使用を続けると、当該ベアリングが損傷し、走行安定性が損なわれるおそれがある。自動変速機付きディーゼルエンジン車の発電機を取り付けるためのブラケットの強度が不足しているため、エンジンの振動により亀裂が発生するものがある。そのため、最悪の場合、発電機がエンジンルーム内に脱落し、充電機能が損なわれ、エンジンが停止し再始動ができなくなるおそれがある。触媒コンバータ内の触媒担体固定用ワイヤーメッシュの材質が不適切なため、連続して高速走行をした場合、当該ワイヤーメッシュが排気ガスの熱で酸化劣化し、触媒担体がケースと干渉し異音を発生するものがある。そのため、そのまま使用を続けると、触媒担体が摩耗して損失し、排出ガス基準値を超えるおそれがある。"
"18","ハイテンションケーブルのディストリビュータ側コネクタ形状が不適切なため、当該ケーブルがディストリビュータの換気ホースと干渉し、換気が不十分になるものがある。そのため、そのまま使用を続けると、ディストリビュータ内部に錆が発生し、エンジンの回転が不安定となり、最悪の場合、エンストして再始動できなくなるおそれがある。"
"19","４輪駆動車の後軸差動装置において、ドライブピニオンのロックナットに回り止め加工が不十分なものがあり、発進等の繰り返しにより当該ロックナットが緩むことがある。そのため、ドライブピニオンとデファレンシャルギヤケースが干渉して損傷し、走行できなくなるおそれがある。"
"20","手動式変速機において、シフトレバーの振動を低減するために装着されているダイナミックダンパーの遮熱板の強度が不十分なため、エンジンの振動等により亀裂が生じて異音が発生するものがある。そのため、そのままの状態で使用を続けると、最悪の場合、当該遮熱板が脱落して他の交通の安全を妨げるおそれがある。前輪緩衝装置において、不適切な鍛造工程により製作されたロアアームが組み付けられたため、当該ロアアームのボールジョイントソケット部に亀裂が発生したものがある。そのため、サーキットでのコーナリング走行時等に、内輪が段差を乗り上げたり、急操舵、急制動を行った場合、ボールジョイントソケット部からボールスタッドが外れ、走行不能となるおそれがある。"
"21","灯火装置において、前照灯操作スイッチ部の配線用端子の表面処理が不適切なため、前照灯の切り替え操作を行うと当該端子の嵌合部が動くことにより接触抵抗が増大するものがあり、最悪の場合、接続カプラーが溶けて導通不良となり、前照灯が不灯となるおそれがある。"
"22","灯火装置において、前照灯操作スイッチ部の配線用端子の表面処理が不適切なため、前照灯の切り替え操作を行うと当該端子の嵌合部が動くことにより接触抵抗が増大するものがあり、最悪の場合、接続カプラーが溶けて導通不良となり、前照灯が不灯となるおそれがある。油圧式パワーステアリングのギアボックスにタイロッドを取り付けるブラケットのボルト締め付け力が不足しているため、車庫入れ等の極低速時に据え切り操作を行うと当該ボルトが弛み、そのまま使用を続けるとボルトが折損し、ギアボックスからブラケットが外れるものがある。そのため、ハンドル操作ができなくなるおそれがある。"
"23","エンジンルーム内に配置された集中アース・ジョイント・コネクタ（ＥＧＩメインリレーやフォグランプ等の灯火器のアース用）の接続端子部の許容温度が不足しているため、通電による発熱により、当該端子部が溶損し、当該端子部が導通不良となって、アースが適切になされなくなるものがある。そのため、方向指示器等を点灯すると、灯火装置（方向指示器、車幅灯等）及び一部車両においてはワイパーが正常に作動しなくなるおそれがある。または、ハザードもしくはフォグランプを点灯させる、または一部車両においてウインド・ウォッシャを作動させると、ＥＧＩメインリレーが正常に作動しなくなり、エンジンが停止するおそれがある。"
"24","バッテリから電源リレー及び方向指示器等への配線に使用しているコネクタが防水構造となっていないため、コネクタ内部に融雪剤等が浸入し、端子部が腐食するものがある。そのため、当該端子部の電気抵抗が大きくなり、電源リレーへの供給電圧が低下し、方向指示器を作動させた際に、当該電源リレーが作動しなくなりエンジンが停止するおそれがある。また、そのまま使用を続けると、最悪の場合、当該端子部が断線して電源リレーが作動しなくなり、エンジンが停止し再始動ができなくなるおそれがある。"
"25","後軸及び後々軸の車軸と車枠とを連結しているＶ型ステーロッドのジョイント部のダストカバーの気密性が不足しているため、当該ジョイント内部に水が浸入し、内部のボールジョイントに錆が発生するものがある。そのため、そのまま使用を続けると、ボールジョイントの取付けボルトが折損して走行安定性が損なわれるおそれがある。"
"26","座席ベルトのバックル内部の加工が不適切なため、バリが生じているものがあり、バリがロック機構に干渉してロック機構が正常に作動しないことがある。そのため、座席ベルトが装着できない、または装着した座席ベルトがわずかな負荷で外れるおそれがある。"
"27","燃料装置において、原動機室内の燃料供給ホースの取り回しが不適切なため、車体の振動により当該ホースがエアクリーナーケースのエッジ部に干渉することがあり、そのままの状態で使用を続けると、当該ホースが損傷して燃料が漏れるおそれがある。"
"28","静油圧変速機の走行ポンプに装着されている高圧リリーフ弁の圧力設定及び油圧解放通路の径が不適切なため､走行中に急な前後進の切り換え操作を行うと、走行ポンプと走行モータの間の油圧回路に過大な圧力が発生し、走行モータのピストンが折損するものがある。そのため、エンジンを停止して再始動した場合、当該ピストンの破片がシリンダ部から外れ、走行ポンプからの油圧が走行モータに伝わらなくなり、走行不能となるおそれがある。"
"29","電気配線（メインハーネス）の取り廻しが不適切なため、当該配線が足踏み式駐車ブレーキペダルのリターンスプリングと干渉し、走行時の振動等により当該配線が損傷することがある。そのため、速度計等が作動しなくなる等電装品に不具合が発生し、最悪の場合、当該配線が焼損するおそれがある。"
"30","副変速機ハウジングの鋳造工程が不適切なため、当該ハウジングにゆがみが生じているものがあり、内部に組み込まれた油圧ポンプが確実に作動しなくなることがある。そのため、副変速機から異音が発生し、最悪の場合、副変速機が破損して走行不能となるおそれがある。"
"31","ＤＰＦ（ディーゼル微粒子除去装置）において、ＤＰＦ内に捕集されたＰＭ（粒子状物質）の自動除去機能を制御するコンピュータに誤ったプログラムを組み込んだため、手動操作によるＰＭの除去が必要であるにもかかわらず、自動除去機能が作動することがある。そのため、ＤＰＦの温度が異常に上昇し、排気温度センサーが損傷してエンジン警告灯が点灯し、最悪の場合、ＤＰＦが損傷してＰＭの排出量が基準値を超えるおそれがある。ＤＰＦにおいて、ＤＰＦ内に捕集されたＰＭの自動除去機能を制御するコンピュータのプログラムが不適切なため、アクセルのオン・オフの操作を頻繁に行いながら走行すると、自動除去機能が作動しない場合があり、ＤＰＦ内にＰＭが堆積することがある。そのため、そのまま使用を続けると、ＤＰＦ表示灯が点灯し、頻繁に手動操作によるＰＭの除去が必要となるおそれがある。"
"32","６速電子制御自動変速機装備車両において、変速機制御コンピューターのプログラムが不適切なため、Ｄレンジの状態で、電子制御ユニット内部の油圧調整機又は電子制御油圧バルブが停止して内部油圧が低下することがある。そのため、警告灯が点灯して変速機のギヤが３速に固定される、または停車時に後退ギヤが選択されて車両が後退するおそれがある。"
"33","フロントハブの強度が不足しているため、旋回頻度の高い走行を繰り返した場合などに、ハブのフランジ部の付け根付近に亀裂が発生するものがある。また、整備状況、積載条件などの要因が重なると、この亀裂の発生が早まる可能性がある。このため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、当該部分が破断して車輪が脱落するおそれがある。"
"34","燃料デリバリパイプをインジェクタへ組み付ける作業が不適切なため、インジェクタのシールリングが当該パイプに噛み込んでいるものがある。そのため、そのまま使用を続けると、当該シートリングに亀裂が生じて、燃料が漏れるおそれがある。"
"35","発電機からキャブレータヒータ（外気温が低い時にキャブレータを温めるもの）への電気回路が不適切なため、キャブレータヒータが作動した場合、キャブレータヒータに過大な電圧がかかる。そのため、キャブレータヒータの内部が高温となり短絡し、発電機からの電流が当該キャブレータヒータを経由してアースし、発電機からヘッドランプ等への電流の供給が無くなり、ヘッドランプ等が消灯するおそれがある。"
"36","フューエルデリバリホースのゴムホース部の材質が不適切なため、ゴムホース部と金属パイプ部の接合部分より燃料が漏れて、最悪の場合、火災に至るおそれがある。ステアリング・ラックのスプールバルブ側の取り付けボルトの締め付け力が不足しているため、かじ取り操作の繰り返し、走行中の振動などにより、当該ボルトが緩むものがある。そのため、そのまま使用を続けると、最悪の場合、ボルトが抜け落ちて、ステアリング・ラックががたつき、走行安定性が損なわれるおそれがある。"
"37","ロックオフデバイス等構成部品を複数変更したため、衝突時の幼児の頭部移動量が過大となり、保安基準に適合しないおそれがある。"
"38","燃料タンクのプレス成形が不適切なため、当該タンクの表面の鉄板にうねりが生じているものがあり、原動機の振動等により当該鉄板が共振を起こすことがある。そのため、そのまま使用を続けると、当該鉄板のうねり部に亀裂が生じて、燃料が漏れるおそれがある。"
"39","原動機において、タイミングベルトの張力を維持する部品（オートテンショナ）に振動吸収性能が不十分なものがある。そのため、そのまま使用を続けると、当該オートテンショナの外部ばねが折損してタイミングベルトが緩んで異音が発生し、最悪の場合、折損した外部ばねの破片がタイミングベルトに噛み込み、原動機が停止するおそれがある。バッテリーの被水対策が不十分なため、バッテリー上面に雨水等がかかるものがある。そのため、バッテリーを交換した場合、バッテリー液注入口の形状によっては雨水等がバッテリー内に侵入し、バッテリー液量が増加して、漏れたバッテリー液がＡＢＳハイドロリックユニットにかかり、当該ＡＢＳハイドロリックユニットが腐食して、最悪の場合、ブレーキ液が漏れて制動力が低下するおそれがある。"
"40","４輪駆動車の後軸用動力伝達装置において、リヤアクスルシャフトの加工寸法が不適切なものがあり、また当該シャフトにリヤブレーキドラムを固定するロックナットの締付けが不十分なものがあるため、発進および旋回等の繰り返しにより当該ロックナットが緩むことがある。そのため、最悪の場合、当該ロックナットが外れ、車輪が脱落するおそれがある。"
"41","アクセルケーブルエンド部の金具の形状及びカバーの材質が不適切なため、当該カバーが経時劣化して、インナーケーブルに付着することがある｡　そのため、インナーケーブルが当該部金具に引っ掛かり、最悪の場合、アクセルペダルを戻しても原動機の回転が下がらなくなるおそれがある。"
"42","交換修理用の排気管において、標準より肉厚の薄い管を使用して製造したため、排気管の強度が不足しているものがある。そのため、そのまま使用を続けると、排気管が損傷し、騒音が増大するおそれがある。"
"43","エアバッグシステムの側面衝突センサーの耐電磁気性能が不足しているため、車外からの電磁波の影響により、当該センサーが誤信号をエアバッグコントロールユニットへ送信することがある。そのため、最悪の場合、エアバッグコントロールユニットがサイドエアバッグ及びサイドカーテンエアバッグを誤って展開させるおそれがある。"
"44","かじ取り装置において、パワーステアリング用油圧ホースの遮熱対策が不十分なため、高温下での連続高速走行、登坂路走行等を繰り返しおこなうと排気管の熱によって、当該ホースが熱劣化するものがある。そのためそのままの状態で使用を続けると、当該ホースが損傷し、作動油が漏れてハンドルの操作力が増大し、最悪の場合、作動油が排気管に飛散して火災に至るおそれがある。方向指示器とハザードランプ兼用のフラッシャーユニットにおいて、当該ユニット内部のリレー端子半田部の半田量が不足しているものがある。そのため、長時間のハザードランプ点灯で当該端子が高温になるという使用方法を繰り返した場合、当該端子が熱膨張と収縮の繰り返しによって半田に亀裂が発生し、接触不良となって、方向指示器とハザードランプが点灯しなくなるおそれがある。"
"45","制動装置の電気配線の取付け方法が不適切なため、当該配線の束ね金具が走行時の振動によりブレーキパイプと接触することがある。そのため、そのまま使用を続けるとブレーキパイプが損傷し、ブレーキ液が漏れて制動力が低下するおそれがある。"
"46","電気配線（信号用、電源用）の固定方法が不適切なため、走行中の振動等により当該配線がスイベル回り止め用ブラケット及び配管クランプと干渉し、当該配線が損傷するものがある。そのため、信号用配線が損傷した場合、原動機が停止して再始動不能となる、変速機がニュートラルになり走行不能となる、又は灯火装置が不灯となるおそれがある。電源用配線が損傷した場合、原動機が停止して再始動不能となる、または当該配線と車体の間が短絡した際に発生した火花により火災に至るおそれがある。"
"47","燃料噴射ポンプの回転数コントロールレバー軸の軸受けの材質及び当該軸と軸受けの隙間が不適切なため、アクセル操作を繰り返すと当該軸と軸受け部が膠着し、アクセルペダルを戻してもレバーの戻りが不十分となるものがある。そのため、原動機の回転数が下がらなくなるおそれがある。"
"48","リヤハブのフランジ付け根の肉厚が薄く強度が不足しているため、旋回頻度の高い走行を繰り返した場合などに、当該部分に亀裂が発生するものがある。またフランジ付け根付近の加工不良などの要因が重なると応力が集中し、この亀裂の発生が早まる可能性がある。このため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、当該部分が破断して走行不能となるおそれがある。"
"49","ステアリングギヤボックスを固定するフレームのブラケット位置がずれているため、ステアリングギヤボックスと中間ギヤの継ぎ手に位置ずれが生じているものがある。そのため、そのままの状態で使用を続けると、当該継ぎ手の締結が緩みはじめ、最悪の場合、当該継ぎ手の嵌合部が摩耗して操舵が出来なくなるおそれがある。"
"50","燃料タンク後方の車体へ組付けするフランジの強度が不足しているため、悪路（凹凸路や未舗装路）等を繰り返し走行すると、当該フランジの根元部へ過大な応力がかかり亀裂が生じるものがある。そのため、そのまま使用を続けると、フランジ部の亀裂が貫通して燃料が漏れるおそれがある。"
"51","燃料ホースコネクターを脱着した際、オーリングがずれるものがあるため、当該コネクターの脱着を繰り返し行うとオーリングが損傷し、燃料が漏れ、最悪の場合、火災に至る恐れがある。燃料ホースクランプの締付けが不十分なため、エンジンの振動等により当該クランプ部から燃料が漏れ、最悪の場合、火災に至るおそれがある。燃料ポンプフランジの締付けトルクが不足しているため、燃料タンク内圧の上昇により、当該フランジ部から燃料が漏れ、最悪の場合、火災に至るおそれがある。燃料レベルセンサマウントのガスケットの寸法が不足しているため、エンジン等の振動により当該マウント部から燃料が漏れ、最悪の場合、火災に至るおそれがある。"
"52","燃料ポンプフランジのリングナットの締付けトルクが不足しているため、燃料タンク内圧の上昇により、当該リングナットと燃料タンクの間にあるガスケット部から燃料が漏れ、最悪の場合、火災に至るおそれがある。"
"53","前車輪のコイルスプリングを保持するストラットプレートの強度が不十分なため、高温多湿の環境下で渋滞走行を繰り返し行なうと、当該プレートに亀裂を生じて異音が発生することがある。そのため、そのままの状態で使用を続けると、当該プレートが脱落し、走行安定性が損なわれるおそれがある。"
"54","二輪駆動車を四輪駆動車に改造した車両において、ステアリングギアのブラケットを車体に固定しているリベットの強度が不足しているため、ハンドルの最大転舵の繰り返しにより、当該リベットが折損することがある。そのため、そのまま使用を続けると、ハンドルの遊びが大きくなり、確実な操舵ができなくなるおそれがある。"
"55","首都圏（埼玉県、千葉県、東京都、神奈川県）で実施されているディーゼル車の排出ガス規制対応のために触媒を追加した車両において、エンジンからの振動に対し、メインマフラーの前側の排気管の強度が不足している。そのため、そのまま使用を続けると、当該排気管が切損し、騒音が増大するおそれがある。"
"56","ＡＢＳ（アンチロック・ブレーキ・システム）のアース配線端子部の防水構造が不適切なため、雨水が当該端子部からアース配線内部を伝わりＡＢＳモジュールのコネクタ部に浸入するものがある。そのため、当該コネクタ部の電極が腐食して短絡し、ＡＢＳ警告灯が点灯するとともにＡＢＳの機能が停止して、最悪の場合、短絡箇所が発熱して火災となるおそれがある。"
"57","フロントハブの強度が不足しているため、旋回頻度の高い走行を繰り返した場合などに、ハブのフランジ部の付け根付近に亀裂が発生するものがある。また、整備状況、積載条件などの要因が重なると、この亀裂の発生が早まる可能性がある。このため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、当該部分が破断して車輪が脱落するおそれがある。"
"58","気圧が低い標高の高い所で、原動機の回転が高くなる走行をした場合、フューエルポンプ内の燃料を供給するフィンの回転数が高くなり過ぎるため、当該ポンプ内で燃料が過剰に攪拌され、燃料内に気泡が発生することがある。そのため、燃料供給が適切に行われなくなり、原動機が停止するおそれがある。"
"59","トランクリッドを保持するトランクリッド・テレスコピック・スプリングを組み付ける際の調整が不適切なため、トランクリッドの開閉を繰り返し行うと、ボール・ソケットに過度な応力を受けるものがある。そのため、ボール・ソケットが破損して車体から当該スプリングが外れ、トランクリッドを開けた場合、保持されず降下するおそれがある。"
"60","車室内のエアコン装置の風量等を調整するブロワファン・モーター用フューズ回路の接点形状が不適切なため、エアコンを長時間にわたり最大風量で連続使用すると、当該接点間にアーク放電が発生して接点が摩耗し、摩耗粉が回路上に堆積するものがある。そのため、当該フューズ回路上の接点間の抵抗が増して発熱し、火災に至るおそれがある。"
"61","油圧式緩衝装置のオイル・ポンプと油圧制御装置を連結する高圧ホースのかしめが不十分なものがあり、走行時の振動や衝撃により当該かしめ部からオイルが漏れるものがある。そのため、そのまま使用を続けると、計器パネル内に警告メッセージが表示され、車高の制御ができなくなり、走行安定性が損なわれるおそれがある。油圧式緩衝装置の油圧制御装置とクロス・ブロック（オイルを前後輪に分配する回路）を連結する油圧ホースのかしめが不適切なものがあり、当該油圧ホース内部のスチールワイヤが破損して腐食が生じるものがある。そのため、そのまま使用を続けると、腐食部からオイルが漏れ、最悪の場合、漏れたオイルが排気管にかかり、火災に至るおそれがある。"
"62","メイン・サーキットブレーカーの容量の設定が不適切なため、エンジンの熱や振動により、当該ブレーカーの接点が開くことがある。そのため、電源が遮断され、エンジンが停止し走行不能になるおそれがある。"
"63","揺動用のセンターピンのベアリングナットの緩み止め構造及び締め付けトルクの設定が不適切なため、走行中に揺動した場合、ベアリングナットの緩み止め用ベアリングワッシャがスペーサとともに動き、当該ワッシャの爪部が破損し、ベアリングナットが緩むものがある。そのため、そのまま使用を続けると、ベアリングナットが脱落し、最悪の場合、前後フレームが離脱するおそれがある。前後進の操作用レバーのコントロールケーブルの取り回しが不適切なため、右左折時に当該ケーブルが油圧ホースと干渉するものがある。そのため、そのまま使用を続けると、当該ケーブルのかしめ部が破損し、操作用レバーを操作しても、後進走行ができなくなるおそれがある。走行モータからの動力をドラムに伝えるドライブプレートの強度が不足しているため、走行及び作業時に当該プレートの一部に亀裂が発生するものがある。そのため、そのまま使用を続けると、最悪の場合、プレート全周に亀裂が進行し、走行モータからの動力がドラムに伝わらなくなり、走行不能となるおそれがある。"
"64","ペダルブラケットのクラッチケーブル取り付け台座の溶接が不十分なため、当該溶接部の強度が不足しているものがある。そのため、そのまま使用を続けると、ペダルブラケットとクラッチケーブル取り付け台座の溶接部が破損し、クラッチが切れず、最悪の場合には走行不能となるおそれがある。"
"65","制動灯用スイッチの組み付け方法が不適切なため、制動灯用スイッチの取付け部が損傷し、スイッチ内部の接点を可動させるロッドの位置がずれているものがある。そのため、そのまま使用を続けると、当該ロッドが摩耗して制動灯が常時点灯する、または接点上に摩耗粉が堆積して制動灯が点灯しなくなるおそれがある。"
"66","後部座席のシートベルトバックルをステーに取り付けているリベットのかしめが不十分なため、リベットが抜け出してシートベルトバックルが外れ、乗員を拘束できなくなるおそれがある。電気配線（メインハーネス）の取り廻しが不適切なため、当該配線が足踏み式駐車ブレーキペダルのリターンスプリングと干渉し、走行時の振動等により当該配線が損傷することがある。そのため、速度計等が作動しなくなる等電装品に不具合が発生し、最悪の場合、当該配線が焼損するおそれがある。補助電動冷却水ポンプの冷却水ホースとアルミ製冷却水パイプの間隔が狭いため干渉しているものがある。そのため、原動機の振動により冷却水ホースが摩耗し破損して冷却水が漏れ、最悪の場合、原動機がオーバーヒートするおそれがある。副変速機（トランスファ）ハウジングの鋳造工程が不適切なため、当該ハウジングにゆがみが生じているものがあり、内部に組み込まれた油圧ポンプが確実に作動しなくなことがある。その為、副変速機から異音が発生し、最悪の場合、副変速機が破損して走行不能となるおそれがある。"
"67","自動変速機付ガソリンエンジン搭載車において、制動倍力装置(マスターバック)の容量が不適切なため、自動暖機運転でエンジンのアイドリング回転数が上昇すると、制動力がトルクコンバータのクリープ力に対して不足する場合がある。また、自動暖気運転時に冷凍機コンプレッサー等を作動した際、さらに制動力が低下する場合がある。そのため、エンジンが充分に暖気できていない状態で走行レンジに入れると、ブレーキペダルを踏んでいても、車両が動き出すおそれがある。"
"68","バッテリーケーブルとエアコンディショナーの冷媒用配管のパイプ間の間隙が狭いため、そのままの状態で走行を続けると、干渉することがある。そのため、走行時の振動によりバッテリーケーブルの皮膜が損傷し、短絡、配線の発熱が生じ、最悪の場合、火災に至るおそれがある。バッテリーケーブルにヒューズの装着されていないものがあり、走行時の振動により、電源回路に短絡等の故障を生じると配線が発熱し、最悪の場合、火災に至るおそれがある。リヤサスペンションのロアアームを製作する際の溶接が不適切なため、強度が不足しているものがある。そのため、過大入力が加わった際にロアアームが変形し、走行の安定性を損なうおそれがある。"
"69","灯火器類等の電気配線の固定位置が不適切なものがあるため、当該配線が排気管と接触して溶損し、当該配線が短絡することがある。そのため、灯火器類が不灯となり、最悪の場合、当該配線が発熱して火災に至るおそれがある。"
"70","自動（又は、無段）変速機の変速レバーパイプの内径寸法を部分的に小さく製造しため、変速レバーをパーキングに入れプッシュボタンを戻してもロックピンロッドが当該パイプに干渉して戻らず、パーキングスイッチが作動しないものがある。そのため、変速レバーをパーキングに入れてもキーインターロック装置が作動しなくなり、イグニッションキーが抜けず、また、かじ取り装置の施錠装置が機能しなくなるおそれがある。無段変速機用電子制御装置のプログラムが不適切なため、変速レバーを前進又は後退位置へ操作後、すばやいアクセル操作を行うと、無段変速機のドライブプーリーと金属ベルトとの間で滑りが起き、金属ベルトの駒（エレメント）が過度に発熱するものがある。そのため、当該駒が破損し金属ベルトが破断して走行不能となるおそれがある。"
"71","デジタル式速度計の演算コンピュータのプログラムが不適切なため、イグニッションスイッチをオフにした後、直ちにオン・オフを繰り返す、またはイグニッションスイッチをオフにした後、直ちに再度オンにしてトリップ表示切り替えボタン（区間距離や時計表示等の表示切り替えボタン）の操作を行なうと、プログラムの車速演算用基礎データが変更されることがある。そのため、速度計の指示が実速度より大幅に低く指示されるおそれがある。"
"72","主制動装置の前輪用配管の取り回しが不適切なため、降雪時、当該配管に着雪して凍結し氷塊となり、更に氷塊が下側に増大して垂れ下がり、走行時に路面等と接触して当該配管に大きな荷重がかかることがある。そのため、当該配管が折損して制動液が漏れ、ブレーキの警告灯が点灯するとともに警報が鳴り、前輪が制動不能となるおそれがある。"
"73","前輪ロアアームのボールジョイント・ブーツの形状に不適切なものがあり、ボールジョイントの気密性が不十分なものがある。また、ボールジョイント・ブーツの耐熱性が不十分なため、当該ブーツが熱劣化し損傷するものがある。そのため、ボールジョイント内に水が浸入してグリスが漏れ潤滑不足となり、ボールジョイントの腐食や摩耗が早期に進行して異音が発生し、そのまま使用を続けると、ボールジョイントがステアリング・ナックルから脱落して走行不能となるおそれがある。"
"74","エンジンと変速機(トランスミッション)の結合部(クラッチハウジング)の剛性が不足しているものがあり、また、トランスミッション･メーンシャフト後部のスプライン部と継ぎ手(アウトプットフランジ)の噛み合い部分の隙間が不適切なため、当該隙間が経年変化などで増大すると、高速走行時の駆動系振動が大きくなり、クラッチハウジングに亀裂が生じるものがある。また、クラッチハウジングに鋳造時の傷などがある場合、この亀裂の発生が早まる可能性がある。このため、そのままの状態で使用を続けると亀裂が進行し、最悪の場合、クラッチハウジングが破断してトランスミッション又はプロペラシャフトが脱落、又は周辺部品を破損させ二次的不具合を生じるおそれがある。"
"75","スペアタイヤキャリアブラケットを移設した際の取付け方法が不適切なため、走行中の振動により当該ブラケットに亀裂が生じるものがある。そのため、そのままの状態で使用を続けると、最悪の場合、当該ブラケットが折損してスペアタイヤとともに脱落し、他の交通の安全を妨げるおそれがある。"
