"","x"
"57","走行装置（フロントハブ）"
"58","燃料装置（フューエルポンプ）"
"59","車体（トランクリッド）"
"60","電気装置（ブロワファン・モーター用フューズ回路）"
"61","緩衝装置（高圧ホースおよび油圧ホース）"
"62","電気装置（メイン・サーキットブレーカー）"
"63","かじ取り装置（ベアリングナット）動力伝達装置（コントロールケーブル）走行装置（ドライブプレート）"
"64","操縦装置（ペダルブラケット）"
"65","電気装置(制動灯用スイッチ)"
"66","乗車装置(リヤシートベルトバックル)、電気装置(メインワイヤリングハーネス)、原動機(冷却水ホース)、動力伝達装置(副変速機)電気装置(制動灯用スイッチ)"
"67","制動装置（制動倍力装置）"
"68","電気装置緩衝装置"
"69","電気装置"
"70","施錠装置動力伝達装置（無段変速機用電子制御装置）"
"71","速度計（デジタル式速度計）"
"72","制動装置"
"73","緩衝装置（ボールジョイント）"
"74","動力伝達装置（クラッチハウジング、トランスミッション）"
"75","車枠（スペアタイヤの取付け装置）"
"76","かじ取り装置"
"77","灯火装置（方向指示器スイッチ）"
"78","乗車装置（運転者席及び助手席のシート）"
"79","原動機"
"80","動力伝達装置"
"81","方向指示器"
"82","動力伝達装置"
"83","方向指示器"
"84","車枠（スペアタイヤの取り付け装置）"
"85","エアバッグ（膨張ガス発生装置）"
"86","原動機（オイルクーラー）"
"87","原動機（オートクルーズ・コントロール装置）"
"88","かじ取り装置（パワーステアリング用油圧ポンプ・プーリー）"
"89","電気装置"
"90","尾灯および制動灯"
"91","燃料装置（燃料タンク）"
"92","制動装置（ブレーキエアホース）"
"93","動力伝達装置（プロペラシャフト）"
"94","走行装置（ホイール・キャップ）"
"95","制動装置"
"96","動力伝達装置"
"97","燃料装置（樹脂製燃料タンク）方向指示器"
"98","原動機（シリンダヘッド）"
"99","原動機（シリンダヘッド）"
"100","燃料装置（低圧燃圧レギュレーター）"
"101","燃料装置（燃料ホース）"
"102","動力伝達装置（シフトケーブル）"
"103","動力伝達装置（プロペラシャフト）"
"104","制動装置（ブレーキパイプ）"
"105","電気装置（室内配線）"
"106","電気装置（エンジンルーム内配線）"
"107","電気装置（エンジンルーム内配線、車室内配線）"
"108","燃料装置 （圧縮天然ガス車の高圧部の配管）"
"109","制動装置（ブレーキホース）"
"110","制動装置（ＡＢＳ）緩衝装置（アンチロールシステム）原動機（スロットルボディ）"
"111","制動装置"
"112","かじ取り装置（パワーステアリング　オイルデリバリーホース）"
"113","制動装置（リレーエマージェンシバルブ）"
"114","燃料装置"
"115","制動装置（ＳＢＣコントロールユニット）"
"116","制動装置（ブレーキ･ハイドロリック・ユニット）"
"117","自動変速機（カウンタ２速ギヤ）燃料装置（フューエルポンプ）"
"118","車体及び車枠（メインスタンドブラケット）"
"119","自動変速機（カウンタ２速ギヤ）"
"120","自動変速機（カウンタ２速ギヤ）"
"121","制動装置（オートマチックスラックアジャスタ）"
"122","制動装置（オートマチックスラックアジャスタ）"
"123","制動装置（オートマチックスラックアジャスタ）"
"124","走行装置"
"125","車体（テールゲートストッパ取付け部）"
"126","乗車装置（リヤシートベルトバックル）"
"127","原動機（エンジンオイルクーラーホース）"
"128","騒音防止装置（メインマフラー）"
"129","自動変速機"
"130","制動装置（駐車ブレーキペダル）"
"131","電気装置（ヒュージブルリンク）"
"132","原動機（ウォーターポンプ）"
"133","燃料装置（燃料タンク）"
"134","燃料装置（左右燃料切り替えバルブ）"
"135","動力伝達装置（自動変速機）　灯火装置（灯火スイッチ）"
"136","駐車制動装置（駐車ブレーキウェッジロッドローラ）"
"137","燃料装置"
"138","かじ取り装置　制動装置"
"139","車枠"
"140","駐車制動装置（駐車ブレーキチャンバー取付金具）"
"141","駐車制動装置（駐車ブレーキ用チャンバー）"
"142","動力伝達装置（シフトケーブル取付ブラケット）動力伝達装置（シフトケーブル）"
"143","始動装置"
"144","動力伝達装置（シフトケーブル取付ブラケット）"
"145","かじ取り装置"
"146","燃料装置"
"147","燃料装置（フューエルホース）"
"148","エアバッグ装置（衝撃波センサ）"
"149","制動装置（ハイドロリックブースタ）"
"150","原動機、電気装置"
"151","原動機（Ｏ２センサ）"
"152","窓ふき器（ワイパーモジュール）"
"153","窓ふき器（ワイパーモジュール）"
"154","座席ベルト（ベルト巻取り装置）"
"155","原動機（エンジンマウントブラケット）"
"156","燃料装置"
"157","燃料装置（キャブレター）"
"158","電気装置"
"159","電気装置（補助ヒータ）"
"160","電気装置（補助ヒータ）"
"161","かじ取り装置（パワーステアリングホース）"
"162","電気装置"
"163","原動機（燃料噴射ポンプ）"
"164","原動機（ディストリビュータ）"
"165","変速装置（操作装置部配線）"
"166","車枠（クロスメンバー）"
"167","乗降口（後部扉用閉扉補助装置）"
"168","かじ取り装置（ステアリングジョイントシャフト）"
"169","動力伝達装置（チェンジシフトアーム）かじ取装置（ドラッグアームシャフト）"
"170","電気装置（車速センサ）"
"171","座席ベルト（シートベルトバックル）"
"172","動力伝達装置"
"173","走行装置（スピードセンサパネル）"
"174","燃料装置（レギュレータ）"
"175","電気装置（キャブハーネス）"
"176","動力伝達装置（トランスミッション変速用ケーブル固定金具）"
"177","動力伝達装置（トランスミッション変速用ケーブル固定金具）"
"178","制動装置（後輪ブレーキマスターシリンダー）"
"179","燃料装置（燃料タンクコネクター）"
"180","走行装置（フロントハブ）"
"181","一酸化炭素等発散防止装置（触媒）"
"182","かじ取り装置　乗車装置"
"183","原動機（ＶＶＣ機構付フロントカムシャフトギヤ固定ボルト）"
"184","動力伝達装置（アクスルシャフト）"
"185","走行装置（ハブベアリング）"
"186","燃料装置"
"187","ブローバイガス還元装置（ＰＣＶホース）"
"188","窓拭器"
"189","かじ取り装置（ベアリングナット）動力伝達装置（コントロールケーブル）"
"190","電気装置車体原動機"
"191","キャブフック"
"192","電気装置（キャブ前面ハーネス）"
"193","灯火装置（前照灯）　電気装置（電気配線）"
"194","かじ取り装置（パワステアリングユニットへの油圧供給ホース）"
"195","原動機　燃料装置　緩衝装置"
"196","かじ取り装置"
"197","原動機（電動ファンモーター制御装置）"
"198","緩衝装置（摺動板）"
"199","燃料装置（レギュレータ）"
"200","灯火装置（前照灯）"
"201","燃料装置"
"202","スライド式側扉"
"203","変速機（シフトポジションセンサー）"
"204","制動装置"
"205","原動機(コネクティングロッドベアリング)"
"206","エアバッグ(エアバッグコントロール ユニット)"
"207","原動機（ＯＣＶ）"
"208","走行装置（ハブベアリング）"
"209","原動機（フライホイールリングギヤ）"
"210","消音器（マフラ）"
"211","動力伝達装置（オイルホース）動力伝達装置（自動変速機電子制御ユニット、変速機作動油冷却装置）"
"212","車体（非常口　後部観音開き扉）"
"213","座席（非常口付近の座席）"
"214","緩衝装置"
"215","走行装置（ハブベアリング）"
"216","走行装置（ハブベアリング）"
"217","原動機（エンジンハーネス）"
"218","原動機（噴射ポンプ）"
"219","かじ取り装置（ナックルアームボールスタッド）"
"220","制動装置"
"221","制動装置（駐車ブレーキ用電気配線）制動装置（駐車ブレーキ用ソレノイドバルブ）"
"222","灯火装置（前照灯スイッチ）"
"223","原動機（排気弁駆動用カム軸）"
"224","電気装置（車室内配線）"
"225","冷却装置（ラジエータホース）"
"226","冷却装置（ラジエータホース）"
"227","燃料装置（燃料タンク）"
"228","騒音防止装置（前部排気管）"
"229","燃料蒸発ガス発散防止装置"
"230","制動装置（制動油圧制御装置；ハイドロリックユニット）"
"231","緩衝装置"
"232","原動機（リヤエンジンマウント）"
"233","燃料装置（噴射管クランプ）"
"234","制動装置（ブレーキシュー）"
"235","走行装置"
"236","動力伝達装置（リヤ・アクスル・シャフト）"
"237","電気装置"
"238","動力伝達装置"
"239","燃料装置（燃料ポンプ）"
"240","燃料装置（レギュレータ）"
"241","動力伝達装置"
"242","制動装置（駐車ブレーキケーブル）"
"243","駐車制動装置（駐車制動用ブレーキチャンバー）"
"244","駐車制動装置（駐車制動用ブレーキウェッジ）"
"245","燃料装置（レギュレータ）"
"246","制動装置"
"247","制動装置（右ブレーキペダルリンク部）"
"248","動力伝達装置"
"249","動力伝達装置（トランスファ）"
"250","動力伝達装置（差動機）"
"251","動力伝達装置（トランスファ）"
"252","動力伝達装置（変速機）"
"253","緩衝装置"
"254","電気装置"
"255","速度抑制装置"
"256","トレッド部"
"257","排気管"
"258","騒音防止装置（排気管）"
"259","動力伝達装置（トランスミッション）"
"260","かじ取り装置（ナックルアーム）"
"261","動力伝達装置"
"262","ブローバイガス還元装置"
"263","かじ取り装置"
"264","かじ取り装置"
"265","かじ取り装置（タイロッドエンドボールジョイント）"
"266","かじ取り装置（タイロッドエンドボールジョイント）"
"267","走行装置（リヤアクスルチューブ）"
"268","緩衝装置（独立懸架サスペンションアーム）"
"269","排出ガス発散防止装置（排気管取付金具）"
"270","原動機　制動装置"
"271","排出ガス発散防止装置（ＤＰＦ）"
"272","電気装置（オルタネータ）"
"273","制動装置"
"274","方向指示器"
"275","原動機"
"276","制動装置"
"277","尾灯および制動灯"
"278","尾灯および制動灯"
"279","かじ取り装置（パワーステアリング用シリンダ）"
"280","走行装置（ホイール）"
"281","燃料装置"
"282","緩衝装置（リアサスペンション取り付け部分）"
"283","燃料装置（燃料タンク）"
"284","制動装置（チェックバルブキャップ）"
"285","走行装置（フロントハブベアリング）　動力伝達装置（前軸差動装置）"
"286","走行装置（フロントスピンドル）　走行装置（リヤスピンドル）"
"287","燃料装置（クイックコネクタ）"
"288","かじ取り装置（パワーステアリングフィードホース）"
"289","走行装置（フロントハブ）"
"290","電気装置　燃料装置"
"291","走行装置（ハブベアリング）"
"292","かじ取り装置"
"293","燃料装置"
"294","電気装置（車両制御用コンピュータ）"
"295","電気装置（電気配線）"
"296","排気管"
"297","燃料装置（燃料パイプ）"
"298","動力伝達装置（アクスルシャフト）"
"299","かじ取り装置（ドラッグリンク）　かじ取り装置（ナックルアーム）"
"300","燃料装置"
"301","制動装置（ブレーキパイプ）"
"302","制動装置（ブレーキケーブル）"
"303","原動機（ノンリターンバルブ）"
"304","制動灯及び尾灯のバルブ取付け基盤"
"305","制動灯及び尾灯のバルブ取付け基盤"
"306","車体及び車枠（サイドスタンドリターンスプリングのフックピン）"
"307","電気装置（オルタネータ）"
"308","加速装置（スロットルケーブル）"
"309","座席ベルト（シートベルト）"
"310","原動機"
"311","かじ取り装置（補助ステアリングシステム）"
"312","窓ふき器"
"313","制動装置"
"314","動力伝達装置（無段式変速機）"
"315","燃料蒸発ガス発散防止装置（パージレゾネータ）"
"316","走行装置（フロントハブ）"
"317","走行装置（リヤハブ）"
"318","制動装置（ＡＳＲバルブ）"
"319","燃料装置 （燃料タンク）"
"320","かじ取り装置（補助ステアリングシステム）"
"321","ロッキングバー"
"322","乗車装置（非常口付近の座席）"
"323","かじ取り装置（キングピン）"
