"","x"
"47","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"48","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"49","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"50","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"51","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"52","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"53","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"54","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"55","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"56","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"57","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"58","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"59","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"60","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"61","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"62","車両製作工場の完成検査において、任命されていない検査員が合否判定を行ったものがあり、安全環境性能法規（保安基準）に関する検査が適切に行われていなかった。"
"63","電動パワーステアリングのコントローラに接続される電気配線の固定方法が不適切なため、走行時の車両振動等によりコントローラと電気配線のコネクタ部の端子が摩耗して絶縁物が生成され、導通不良に至ることがある。そのため、警告灯が点灯するとともにパワーステアリングのアシスト機能が停止し、ステアリングの操作力が増大するおそれがある。"
"64","糞尿車および塵芥車において、シャシフレームとタンクまたは荷箱を締結する対向ブラケットの位置が不適切なため、一方の後車輪のみが上昇して車軸が地面と並行にならない状態や急激な旋回時に後輪タイヤと対向ブラケットが接触することがある。そのため、最悪の場合、後輪タイヤが損傷するおそれがある。"
"65","エアコンユニットのＰＴＣヒータにおいて、電気配線の固定が不適切なため、走行中の振動等により揺動し端子が摩耗することがある。そのため、そのままの状態で使用すると、端子間の抵抗が増加し異常発熱して、発煙し、最悪の場合、火災に至るおそれがある。"
"66","バン架装車において、荷室架装時の車台側締結位置の指示が不適切なため、荷室前側の車台締結を設計意図と異なる位置で締結したものがある。そのため、走行中の荷室揺動による前輪サスペンションのアンカーボルトへの入力が大きく、そのまま使用を続けると、当該ボルトが折損して車両姿勢が変化し、また、折損したボルトが燃料タンクを損傷させ、最悪の場合、燃料が漏れるおそれがある。"
"67","自動変速機のセレクトレバーにおいて、溶接設備の設定が不適切なため、セレクトレバーとブラケットの溶接が不十分なものがある。そのため、セレクトレバー操作により溶接部が破断し、操作できなくなるおそれがある。"
"68","助手席エアバッグのインフレータ（膨張装置）を対策品に交換した車両において、エアバッグの排気孔が小さいため、エアバッグ展開時にエアバッグ組付けブラケットに亀裂やエアバッグ排気孔部が破れることがある。そのため、エアバッグが適正に展開せず、最悪の場合、乗員保護性能が低下するおそれがある。"
"69","ブレーキマスターシリンダにおいて、ピストン部のシール形状が不適切なため、ブレーキペダルを踏んだ際にシールが捲れることがある。そのため、シール部からブレーキ液が漏れて警告灯が点灯し、最悪の場合、制動力が低下して制動距離が長くなるおそれがある。"
"70","キャンピング車において、前面方向指示器の取り付け位置が不適切なため、道路運送車両の保安基準第４１条（方向指示器の照明部の最外縁が自動車の最外縁から４００ｍｍ以内となるよう取り付け）の基準に適合しない。"
"71","原動機のシリンダーブロックにおいて、鋳造型の中子がずれたまま鋳造されたため、オイル通路が完全に貫通していないものがある。そのため、オイル供給不足によりクランクシャフトのジャーナルメタルが焼き付き、異音が発生し、最悪の場合、原動機が焼き付くおそれがある。"
"72","乗降扉のドアラッチにおいて、構成部品の製造が不適切なため、部品の精度が規格を外れているものがあり、気温が高くなるとロック機構の動きが悪くなることがある。そのため、乗降扉が確実にロックされず、最悪の場合、運行中に乗降扉が開くおそれがある。"
"73","乗降扉のドアラッチにおいて、構成部品の製造が不適切なため、部品の精度が規格を外れているものがあり、気温が高くなるとロック機構の動きが悪くなることがある。そのため、乗降扉が確実にロックされず、最悪の場合、運行中に乗降扉が開くおそれがある。"
"74","パワーステアリングの油圧ホースにおいて、ゴムホースと口金具の加締めが不適切なため、転舵の繰り返しにより油圧が掛かると、当該ホースが外れるものがある。そのため、オイルが漏れて操舵力が重くなり、最悪の場合、飛散したオイルが排気管に付着し、火災に至るおそれがある。"
"75","四輪駆動車のトランスファにおいて、トランスファ内のインターミディエイトシャフトの設計が不適切なため、右側ドライブシャフトが正しく嵌合していないものがある。そのため、段差乗り越え等の大きな衝撃が加えられた場合、ドライブシャフトが抜け、異音、オイル漏れの発生や加速不良となり、最悪の場合、走行不能や駐車中に車両が動き出すおそれがある。"
"76","四輪駆動車のトランスファにおいて、トランスファ内のインターミディエイトシャフトの設計が不適切なため、右側ドライブシャフトが正しく嵌合していないものがある。そのため、段差乗り越え等の大きな衝撃が加えられた場合、ドライブシャフトが抜け、異音、オイル漏れの発生や加速不良となり、最悪の場合、走行不能や駐車中に車両が動き出すおそれがある。"
"77","清掃車の電気配線において、作業用エンジンのバッテリ配線の配索が不適切なため、バッテリ固定用ボルトと接触することがある。そのため、走行時の振動によって配線が損傷して短絡し、作業用エンジンが始動不能となり、最悪の場合、配線が焼損して火災となるおそれがある。"
"78","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"79","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"80","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"81","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"82","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"83","助手席側のエアバッグのインフレータ（膨張装置）において、ガス発生剤の吸湿防止が不適切なため、温度および湿度変化の繰り返しによりガス発生剤が劣化することがある。そのため、エアバッグ展開時にインフレータ容器が破損するおそれがある。"
"84","自動無段変速機（ＣＶＴ）において、コントロールユニットの制御が不適切なため、ＣＶＴ内部のクラッチの結合が遅れ、発進時に駆動力が伝わらないことがある。
　そのため、坂道での発進時にブレーキペダルを放した際、一時的に車両の自重で坂道を下がるおそれがある。"
"85","自動無段変速機（ＣＶＴ）において、コントロールユニットの制御が不適切なため、ＣＶＴ内部のクラッチの結合が遅れ、発進時に駆動力が伝わらないことがある。
　そのため、坂道での発進時にブレーキペダルを放した際、一時的に車両の自重で坂道を下がるおそれがある。"
"86","（１）エンジンの始動装置（スターター）において、エンジン制御プログラムが不適切なため、エンジンクランキング開始直後のシフト操作により、スターターモーターピニオンギヤがエンジンのリングギヤに強嵌合し、その衝撃でギヤが破損することがある。そのため、エンジン始動時に異音が発生し、最悪の場合、エンジンが始動できなくなるおそれがある。"
"87","（１）エンジンの始動装置（スターター）において、エンジン制御プログラムが不適切なため、エンジンクランキング開始直後のシフト操作により、スターターモーターピニオンギヤがエンジンのリングギヤに強嵌合し、その衝撃でギヤが破損することがある。そのため、エンジン始動時に異音が発生し、最悪の場合、エンジンが始動できなくなるおそれがある。"
"88","（２）アイドリングストップ機能付き車のエンジンＥＣＵにおいて、エンジン制御プログラムが不適切なため、触媒劣化診断が適正に実施されないことがある。そのため、触媒が劣化しても警告灯が点灯しないおそれがある。"
"89","（２）アイドリングストップ機能付き車のエンジンＥＣＵにおいて、エンジン制御プログラムが不適切なため、触媒劣化診断が適正に実施されないことがある。そのため、触媒が劣化しても警告灯が点灯しないおそれがある。"
"90","ＡＢＳアクチュエータ内ポンプにおいて、組付け設備の調節が不適切なため、組み付け時にポンプ内部のシールが破損したものがある。そのため、ＡＢＳ作動時のブレーキ液の吐出圧が不足するおそれがあり、最悪の場合、ＡＢＳ機能が作動せず、走行安定性が損なわれるおそれがある。"
